iter	Passed	Remaining
577	3480	2541
578	3485	2534
579	3489	2526
580	3494	2519
581	3498	2512
582	3504	2506
583	3509	2500
584	3515	2493
585	3519	2486
586	3524	2479
587	3530	2473
588	3535	2467
589	3540	2460
590	3544	2453
591	3549	2446
592	3554	2439
593	3559	2432
594	3564	2426
595	3570	2420
596	3576	2414
597	3581	2407
598	3585	2400
599	3590	2393
600	3596	2387
601	3600	2380
602	3605	2374
603	3612	2368
604	3617	2361
605	3624	2356
606	3629	2349
607	3635	2343
608	3641	2338
609	3645	2331
610	3651	2324
611	3657	2318
612	3662	2312
613	3669	2306
614	3675	2300
615	3681	2294
616	3685	2287
617	3690	2281
618	3695	2274
619	3699	2267
620	3703	2260
621	3707	2253
622	3711	2246
623	3716	2239
624	3721	2233
625	3726	2226
626	3730	2219
627	3737	2213
628	3745	2208
629	3749	2202
630	3755	2195
631	3759	2189
632	3764	2182
633	3769	2176
634	3775	2170
635	3781	2163
636	3787	2158
637	3792	2151
638	3797	2145
639	3804	2139
640	3809	2133
641	3814	2127
642	3819	2120
643	3827	2116
644	3835	2111
645	3842	2105
646	3852	2102
647	3863	2098
648	3870	2093
649	3879	2089
650	3884	2082
651	3889	2075
652	3893	2069
653	3900	2063
654	3905	2057
655	3910	2050
656	3915	2044
657	3919	2037
658	3925	2031
659	3930	2024
660	3936	2018
661	3943	2013
662	3952	2008
663	3961	2004
664	3969	1999
665	3975	1993
666	3979	1987
667	3984	1980
668	3989	1973
669	3993	1966
670	3997	1960
671	4003	1953
672	4007	1947
673	4012	1940
674	4017	1934
675	4024	1928
676	4029	1922
677	4034	1915
678	4039	1909
679	4044	1903
680	4049	1896
681	4053	1890
682	4058	1883
683	4063	1877
684	4068	1870
685	4073	1864
686	4079	1858
687	4084	1852
688	4088	1845
689	4094	1839
690	4102	1834
691	4107	1828
692	4114	1822
693	4119	1816
694	4124	1810
695	4133	1805
696	4142	1800
697	4151	1796
698	4156	1789
699	4163	1784
700	4173	1780
701	4181	1774
702	4186	1768
703	4191	1762
704	4198	1756
705	4204	1751
706	4214	1746
707	4221	1741
708	4227	1735
709	4233	1729
710	4238	1722
711	4245	1717
712	4250	1711
713	4256	1705
714	4262	1699
715	4268	1692
716	4274	1687
717	4280	1681
718	4286	1675
719	4291	1668
720	4295	1662
721	4300	1655
722	4304	1649
723	4310	1643
724	4315	1636
725	4319	1630
726	4325	1624
727	4330	1617
728	4337	1612
729	4345	1607
